region,2022/23 Male_P,2022/23 Female_P,2022/23 Total_P,Number_of_P_Schools
Tigray,0,0,0,0
Afar,116474,91530,208004,758
Amhara,1891318,1890169,3781487,9357
Oromia,4492255,3915522,8407777,13898
Somali,688014,538977,1226991,2037
Benishangul-Gumz,130172,107606,237778,586
SNNP,1426021,1313200,2739221,4101
South West Ethiopia,335937,284878,620815,1497
Gambella,74462,65155,139617,268
Harari,31754,26522,58276,70
Addis Ababa,296179,309488,605667,257
Dire Dawa,46425,40347,86772,87
Sidama,535202,532803,1068005,1052
